Project_ID,Project_Name,Contractor,Region,Total_Budget,Cost_Actual,Invoice_Amt,Payment_Recvd,Outstanding,Start_Date,End_Date,Status,Cost_Variance,Over_Budget_Flag
P001,Highway Expn L1,ABC Infra,North,5000000,5200000,3000000,2500000.0,500000.0,2024-01-01,2024-12-30,Ongoing,200000,Yes
P002,Bridge Work-A,XYZ Constructions,East,7000000,6800000,4000000,4000000.0,0.0,2024-02-15,2024-11-15,Completed,-200000,No
P003,Metro Phase 2,LMN Pvt Ltd,West,12000000,12500000,8000000,6000000.0,2000000.0,2024-03-01,2025-06-30,Ongoing,500000,Yes
P004,Road Repair Z5,ABC Infra,North,3000000,2800000,2000000,0.0,2000000.0,2024-04-05,2024-09-30,Delayed,-200000,No
P005,Airport Extn,XYZ Constructions,South,15000000,14000000,9000000,8500000.0,500000.0,2024-05-01,2025-01-30,On Track,-1000000,No
P006,Smart City Work,LMN Pvt Ltd,West,8000000,9000000,6000000,5000000.0,1000000.0,2024-06-12,2024-12-12,Over Budget,1000000,Yes
P007,Drainage Sys B2,ABC Infra,East,2500000,2600000,1500000,1400000.0,100000.0,2024-07-01,2024-12-01,Ongoing,100000,Yes
P008,Flyover Build,XYZ Constructions,North,10000000,9500000,7000000,7000000.0,0.0,2024-08-01,2025-04-30,Completed,-500000,No
P009,Industrial Park,LMN Pvt Ltd,South,20000000,21000000,15000000,10000000.0,5000000.0,2024-09-01,2026-01-01,Delayed,1000000,Yes
P010,Water Pipeline,ABC Infra,West,4000000,3900000,2500000,2000000.0,500000.0,2024-10-15,2025-05-15,Ongoing,-100000,No
P011,Highway Expn L2,BuildCorp,North,6000000,6500000,3500000,3000000.0,500000.0,2024-01-02,2024-11-28,Ongoing,500000,Yes
P012,Bridge Work-B,Skyline Ltd,East,7500000,7200000,4200000,4100000.0,100000.0,2024-02-18,2024-11-20,Completed,-300000,No
P013,Metro Phase 3,LMN Pvt Ltd,West,13000000,13500000,9000000,7000000.0,2000000.0,2024-03-15,2025-07-30,Ongoing,500000,Yes
P014,Road Repair Z6,ABC Infra,South,3200000,3000000,2100000,0.0,2100000.0,2024-04-10,2024-10-05,Delayed,-200000,No
P015,Airport Extn 2,XYZ Constructions,South,16000000,15000000,9500000,9000000.0,500000.0,2024-06-01,2025-02-15,On Track,-1000000,No
P016,Smart City Phase 2,BuildCorp,West,9000000,10000000,7000000,6000000.0,1000000.0,2024-06-15,2024-12-15,Over Budget,1000000,Yes
P017,Drainage Sys B3,ABC Infra,East,2700000,2800000,1600000,1500000.0,100000.0,2024-07-10,2024-12-15,Ongoing,100000,Yes
P018,Flyover Build 2,Skyline Ltd,North,11000000,10500000,7500000,7400000.0,100000.0,2024-08-05,2025-05-10,Completed,-500000,No
P019,Industrial Park 2,LMN Pvt Ltd,South,21000000,22000000,16000000,11000000.0,5000000.0,2024-09-15,2026-02-01,Delayed,1000000,Yes
P020,Water Pipeline 2,ABC Infra,West,4500000,4200000,2600000,2100000.0,500000.0,2024-10-20,2025-05-20,Ongoing,-300000,No
P021,Highway Expn L3,BuildCorp,North,5500000,5800000,3300000,2900000.0,400000.0,2024-01-03,2024-11-25,Ongoing,300000,Yes
P022,Bridge Work-C,XYZ Constructions,East,7200000,7000000,4100000,3900000.0,200000.0,2024-02-20,2024-11-18,Completed,-200000,No
P023,Metro Phase 4,LMN Pvt Ltd,West,14000000,15000000,10000000,8000000.0,2000000.0,2024-04-01,2025-08-30,Ongoing,1000000,Yes
P024,Road Repair Z7,ABC Infra,North,3500000,3300000,2200000,0.0,2200000.0,2024-04-12,2024-10-08,Delayed,-200000,No
P025,Airport Extn 3,Skyline Ltd,South,17000000,16500000,10000000,9500000.0,500000.0,2024-07-01,2025-03-01,On Track,-500000,No
P026,Smart City Phase 3,BuildCorp,West,9500000,10500000,7200000,6200000.0,1000000.0,2024-06-18,2024-12-18,Over Budget,1000000,Yes
P027,Drainage Sys B4,ABC Infra,East,2800000,2900000,1700000,1500000.0,200000.0,2024-07-20,2024-12-20,Ongoing,100000,Yes
P028,Flyover Build 3,XYZ Constructions,North,11500000,11000000,7800000,7800000.0,0.0,2024-08-08,2025-05-15,Completed,-500000,No
P029,Industrial Park 3,LMN Pvt Ltd,South,22000000,23000000,17000000,12000000.0,5000000.0,2024-10-01,2026-03-01,Delayed,1000000,Yes
P030,Water Pipeline 3,ABC Infra,West,4800000,4600000,2800000,2300000.0,500000.0,2024-10-25,2025-05-25,Ongoing,-200000,No
P031,Highway Expn L4,BuildCorp,North,6000000,6200000,3500000,3000000.0,500000.0,2024-01-05,2024-11-30,Ongoing,200000,Yes
P032,Bridge Work-D,Skyline Ltd,East,7800000,7600000,4300000,4200000.0,100000.0,2024-02-25,2024-11-25,Completed,-200000,No
P033,Metro Phase 5,LMN Pvt Ltd,West,15000000,16000000,11000000,9000000.0,2000000.0,2024-04-15,2025-09-30,Ongoing,1000000,Yes
P034,Road Repair Z8,ABC Infra,South,3600000,3400000,2300000,0.0,2300000.0,2024-04-15,2024-10-10,Delayed,-200000,No
P035,Airport Extn 4,XYZ Constructions,South,18000000,17000000,10500000,10000000.0,500000.0,2024-08-01,2025-04-01,On Track,-1000000,No
